Connected to tuneTrend.
BEGINNING CALCULATIONS!
DONE WITH CALCULATIONS!
BEGINNING ANALYSIS! 


Average derivative of average song popularity: -0.109547931007

Big Movers Positive: 	 I Just Wanna F. (feat. Timbaland & Dev) by: DEV with avg. popularity derivative: 0.25
Big Movers Positive: 	 Down The Line by: John Newman with avg. popularity derivative: 0.25
Big Movers Positive: 	 Blur My Hands (feat. Guy Sebastian) by: Guy Sebastian with avg. popularity derivative: 0.25
Big Movers Positive: 	 Summertime Of Our Lives by: Cody Simpson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Chronozbaäl by: Blaxtar with avg. popularity derivative: 0.25
Big Movers Positive: 	 A New York Christmas - Single Version by: Rob Thomas with avg. popularity derivative: 0.25
Big Movers Positive: 	 Stjerner by: Karpe Diem with avg. popularity derivative: 0.25
Big Movers Positive: 	 Dirt by: Florida Jesse with avg. popularity derivative: 0.25
Big Movers Positive: 	 Our Own House by: MisterWives with avg. popularity derivative: 0.25
Big Movers Positive: 	 Within Me a Lunatic Sings (feat. Abigail Breslin) by: Abigail Breslin with avg. popularity derivative: 0.25
Big Movers Positive: 	 Did That Hurt? - From The "Fifty Shades Of Grey" Score by: Danny Elfman with avg. popularity derivative: 0.25
Big Movers Positive: 	 Winter Wonderland by: Kate Havnevik with avg. popularity derivative: 0.25
Big Movers Positive: 	 Only One by: Yeezy with avg. popularity derivative: 0.25
Big Movers Positive: 	 Life Jackets by: Luke Christopher with avg. popularity derivative: 0.25
Big Movers Positive: 	 All Because of You by: Absence of Concern with avg. popularity derivative: 0.25
Big Movers Positive: 	 Snow by: Emiliana Torrini with avg. popularity derivative: 0.25
Big Movers Positive: 	 Tangerine Girl by: Asher Roth with avg. popularity derivative: 0.25
Big Movers Positive: 	 The Dream Time Machine by: WZRD with avg. popularity derivative: 0.25
Big Movers Positive: 	 Legend by: Drake with avg. popularity derivative: 0.25
Big Movers Positive: 	 Queens by: MisterWives with avg. popularity derivative: 0.25
Big Movers Positive: 	 Did You Hear the Rain? by: George Ezra with avg. popularity derivative: 0.25
Big Movers Positive: 	 Maybe I Should Call by: K. Michelle with avg. popularity derivative: 0.25
Big Movers Positive: 	 Christmas In New York (feat. No) by: Abigail Breslin with avg. popularity derivative: 0.25
Big Movers Positive: 	 Hiders by: Burial with avg. popularity derivative: 0.25
Big Movers Positive: 	 Summer Breaking by: Mark Ronson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Hide And Seek by: Imogen Heap with avg. popularity derivative: 0.25
Big Movers Positive: 	 I'm Gonna Getcha Good! - Live by: Shania Twain with avg. popularity derivative: 0.25
Big Movers Positive: 	 Top Of The World by: The Cataracs with avg. popularity derivative: 0.25
Big Movers Positive: 	 Can't Stop Dancin' by: Becky G with avg. popularity derivative: 0.25
Big Movers Positive: 	 Text Me Merry Christmas (feat. Kristen Bell) by: Straight No Chaser with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Can Let Go Now (feat. Sara Bareilles) by: Sara Bareilles with avg. popularity derivative: 0.25
Big Movers Positive: 	 Love and Theft by: Love and Theft with avg. popularity derivative: 0.25
Big Movers Positive: 	 The Loneliest Star by: Thirteen Senses with avg. popularity derivative: 0.25
Big Movers Positive: 	 Gentle On My Mind by: The Band Perry with avg. popularity derivative: 0.25
Big Movers Positive: 	 Llueve Por Dentro by: Luis Fonsi with avg. popularity derivative: 0.25
Big Movers Positive: 	 Lose Control / Let Me Down by: Keri Hilson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Sweet Caroline by: Tufts Beelzebubs with avg. popularity derivative: 0.25
Big Movers Positive: 	 Now That You're Gone by: The Last Goodnight with avg. popularity derivative: 0.25
Big Movers Positive: 	 Elastic Heart - From "The Hunger Games: Catching Fire"/Soundtrack by: Diplo with avg. popularity derivative: 0.25
Big Movers Positive: 	 A Brief History by: Thirteen Senses with avg. popularity derivative: 0.25
Big Movers Positive: 	 Drive Me Crazy by: Kip Moore with avg. popularity derivative: 0.25
Big Movers Positive: 	 First Things First by: Neon Trees with avg. popularity derivative: 0.25
Big Movers Positive: 	 Valentine by: Sampha with avg. popularity derivative: 0.25
Big Movers Positive: 	 She Don't Want A Man by: Curren$y with avg. popularity derivative: 0.25
Big Movers Positive: 	 Still Fly by: Big Tymers with avg. popularity derivative: 0.25
Big Movers Positive: 	 Stuff We Did by: Michael Giacchino with avg. popularity derivative: 0.25
Big Movers Positive: 	 A Little Too Much by: Shawn Mendes with avg. popularity derivative: 0.25
Big Movers Positive: 	 How Do You Know? by: K. Michelle with avg. popularity derivative: 0.25
Big Movers Positive: 	 Salted Wound - From The "Fifty Shades Of Grey" Soundtrack by: Sia with avg. popularity derivative: 0.25
Big Movers Positive: 	 Once In A Lifetime by: Flo Rida with avg. popularity derivative: 0.25
Big Movers Positive: 	 Falling 4 U (Edm Mix) by: Devyn Rose with avg. popularity derivative: 0.25
Big Movers Positive: 	 It Came Upon A Midnight Clear by: University of Delaware Deltones with avg. popularity derivative: 0.25
Big Movers Positive: 	 Michael Jackson by: Das Racist with avg. popularity derivative: 0.25
Big Movers Positive: 	 Problem by: Iggy Azalea with avg. popularity derivative: 0.25
Big Movers Positive: 	 California by: Yellowcard with avg. popularity derivative: 0.25
Big Movers Positive: 	 Oliver by: Kara's Flowers with avg. popularity derivative: 0.25
Big Movers Positive: 	 All Good Things (Come to an End) by: Noteworthy with avg. popularity derivative: 0.25
Big Movers Positive: 	 Hard To Do by: K. Michelle with avg. popularity derivative: 0.25
Big Movers Positive: 	 Shine by: Parmalee with avg. popularity derivative: 0.25
Big Movers Positive: 	 Uma Thurman by: Fall Out Boy with avg. popularity derivative: 0.25
Big Movers Positive: 	 The Black Pearl by: Klaus Badelt with avg. popularity derivative: 0.25
Big Movers Positive: 	 Come & Get It by: Selena with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Don't Care - Sonic Matta Club Edit by: Cheryl with avg. popularity derivative: 0.25
Big Movers Positive: 	 Ghosts by: James Vincent McMorrow with avg. popularity derivative: 0.25
Big Movers Positive: 	 Highway Don't Care by: Tim McGraw with avg. popularity derivative: 0.25
Big Movers Positive: 	 Do Not Disturb by: Teyana Taylor with avg. popularity derivative: 0.25
Big Movers Positive: 	 Stars Make Progress by: Thirteen Senses with avg. popularity derivative: 0.25
Big Movers Positive: 	 Ghost - Oliver Nelson Remix by: Ella Henderson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Henny (Remix) by: Mack Wilds with avg. popularity derivative: 0.25
Big Movers Positive: 	 Heroes (We Could Be) by: Alesso with avg. popularity derivative: 0.25
Big Movers Positive: 	 Home To Mama by: Cody Simpson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Cheat Codes (feat. Emblem3) by: Emblem3 with avg. popularity derivative: 0.25
Big Movers Positive: 	 Feel The Love - feat. John Newman by: John Newman with avg. popularity derivative: 0.25
Big Movers Positive: 	 Wake Up by: Hilary Duff with avg. popularity derivative: 0.25
Big Movers Positive: 	 We Come Running - Tiësto Remix by: Youngblood Hawke with avg. popularity derivative: 0.25
Big Movers Positive: 	 Full House (feat. Troy Ave & Heems) by: Troy Ave with avg. popularity derivative: 0.25
Big Movers Positive: 	 Craving by: James Bay with avg. popularity derivative: 0.25
Big Movers Positive: 	 Light Year by: Lo-Fang with avg. popularity derivative: 0.25
Big Movers Positive: 	 Strong by: London Grammar with avg. popularity derivative: 0.25
Big Movers Positive: 	 A Beautiful Life by: Lindsay Lohan with avg. popularity derivative: 0.25
Big Movers Positive: 	 Addicted (feat. Solo London) by: L-T Terror with avg. popularity derivative: 0.25
Big Movers Positive: 	 One Day by: Tufts Beelzebubs with avg. popularity derivative: 0.25
Big Movers Positive: 	 Blind Heart - Didrick Remix by: CAZZETTE with avg. popularity derivative: 0.25
Big Movers Positive: 	 Rude by: Magic! with avg. popularity derivative: 0.25
Big Movers Positive: 	 The Shrew Would Have Cushioned The Blow - Mixed by: Joy Orbison with avg. popularity derivative: 0.25
Big Movers Positive: 	 America by: Black Hippy with avg. popularity derivative: 0.25
Big Movers Positive: 	 Stairwave to Heaven (feat. Stevie Crooks) by: Stevie Crooks with avg. popularity derivative: 0.25
Big Movers Positive: 	 Everything But You by: Kip Moore with avg. popularity derivative: 0.25
Big Movers Positive: 	 Doe Niet Dom (feat. Kraantje Pappie) by: Kraantje Pappie with avg. popularity derivative: 0.25
Big Movers Positive: 	 In The End by: Family of the Year with avg. popularity derivative: 0.25
Big Movers Positive: 	 Drunk Americans by: Toby Keith with avg. popularity derivative: 0.25
Big Movers Positive: 	 Everybody Talks by: Tufts Beelzebubs with avg. popularity derivative: 0.25
